poll_time,scheduled,expected,state,destination,journey_state,journey_id
2026-09-23T05:46:20+02:00,2026-09-23T06:09:57,2026-09-23T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026092300001
2026-09-23T05:46:20+02:00,2026-09-23T06:24:57,2026-09-23T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T05:46:20+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T05:54:18+02:00,2026-09-23T06:09:57,2026-09-23T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026092300001
2026-09-23T05:54:18+02:00,2026-09-23T06:24:57,2026-09-23T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T05:54:18+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T05:59:57+02:00,2026-09-23T06:09:57,2026-09-23T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026092300001
2026-09-23T05:59:57+02:00,2026-09-23T06:24:57,2026-09-23T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T05:59:57+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:11:50+02:00,2026-09-23T06:09:57,2026-09-23T06:13:08,EXPECTED,Sergels torg,NORMALPROGRESS,2026092300001
2026-09-23T06:11:50+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:11:50+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:12:21+02:00,2026-09-23T06:09:57,2026-09-23T06:13:08,EXPECTED,Sergels torg,NORMALPROGRESS,2026092300001
2026-09-23T06:12:21+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:12:21+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:12:51+02:00,2026-09-23T06:09:57,2026-09-23T06:13:08,EXPECTED,Sergels torg,NORMALPROGRESS,2026092300001
2026-09-23T06:12:51+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:12:51+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:13:22+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:13:22+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:13:22+02:00,2026-09-23T06:49:06,2026-09-23T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092300004
2026-09-23T06:13:53+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:13:53+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:13:53+02:00,2026-09-23T06:49:06,2026-09-23T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092300004
2026-09-23T06:14:23+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:14:23+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:14:23+02:00,2026-09-23T06:49:06,2026-09-23T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092300004
2026-09-23T06:14:54+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:14:54+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:14:54+02:00,2026-09-23T06:49:06,2026-09-23T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092300004
2026-09-23T06:15:25+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:15:25+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:15:25+02:00,2026-09-23T06:49:06,2026-09-23T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092300004
2026-09-23T06:15:56+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:15:56+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:15:56+02:00,2026-09-23T06:49:06,2026-09-23T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092300004
2026-09-23T06:16:26+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:16:26+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:16:26+02:00,2026-09-23T06:49:06,2026-09-23T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092300004
2026-09-23T06:16:57+02:00,2026-09-23T06:24:57,2026-09-23T06:32:57,EXPECTED,Sergels torg,EXPECTED,2026092300002
2026-09-23T06:16:57+02:00,2026-09-23T06:37:57,2026-09-23T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092300003
2026-09-23T06:16:57+02:00,2026-09-23T06:49:06,2026-09-23T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092300004
