poll_time,scheduled,expected,state,destination,journey_state,journey_id
2026-09-25T05:45:18+02:00,2026-09-25T06:09:57,2026-09-25T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026092500001
2026-09-25T05:45:18+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T05:45:18+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T05:53:45+02:00,2026-09-25T06:09:57,2026-09-25T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026092500001
2026-09-25T05:53:45+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T05:53:45+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:00:15+02:00,2026-09-25T06:09:57,2026-09-25T06:10:41,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500001
2026-09-25T06:00:15+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T06:00:15+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:10:42+02:00,2026-09-25T06:09:57,2026-09-25T06:11:14,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500001
2026-09-25T06:10:42+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T06:10:42+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:11:13+02:00,2026-09-25T06:09:57,2026-09-25T06:11:14,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500001
2026-09-25T06:11:13+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T06:11:13+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:11:44+02:00,2026-09-25T06:09:57,2026-09-25T06:11:14,ATSTOP,Sergels torg,NORMALPROGRESS,2026092500001
2026-09-25T06:11:44+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T06:11:44+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:12:15+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T06:12:15+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:12:15+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:12:46+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T06:12:46+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:12:46+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:13:17+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T06:13:17+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:13:17+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:13:48+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092500002
2026-09-25T06:13:48+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:13:48+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:14:19+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,ATORIGIN,2026092500002
2026-09-25T06:14:19+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:14:19+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:14:50+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,ATORIGIN,2026092500002
2026-09-25T06:14:50+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:14:50+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:15:21+02:00,2026-09-25T06:24:57,2026-09-25T06:24:57,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500002
2026-09-25T06:15:21+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:15:21+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:15:51+02:00,2026-09-25T06:24:57,2026-09-25T06:26:33,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500002
2026-09-25T06:15:51+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:15:51+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:23:54+02:00,2026-09-25T06:24:57,2026-09-25T06:26:31,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500002
2026-09-25T06:23:54+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:23:54+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:24:24+02:00,2026-09-25T06:24:57,2026-09-25T06:26:31,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500002
2026-09-25T06:24:24+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:24:24+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:24:55+02:00,2026-09-25T06:24:57,2026-09-25T06:26:31,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500002
2026-09-25T06:24:55+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:24:55+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:25:25+02:00,2026-09-25T06:24:57,2026-09-25T06:26:31,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500002
2026-09-25T06:25:25+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:25:25+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:25:56+02:00,2026-09-25T06:24:57,2026-09-25T06:26:05,EXPECTED,Sergels torg,NORMALPROGRESS,2026092500002
2026-09-25T06:25:56+02:00,2026-09-25T06:37:57,2026-09-25T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092500003
2026-09-25T06:25:56+02:00,2026-09-25T06:49:06,2026-09-25T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026092500004
2026-09-25T06:26:26+02:00,_HEARTBEAT_,,,,,
