poll_time,scheduled,expected,state,destination,journey_state,journey_id
2026-09-15T15:17:45+02:00,2026-09-15T15:30:00,2026-09-15T15:30:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500018
2026-09-15T15:17:45+02:00,2026-09-15T15:45:00,2026-09-15T15:45:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500019
2026-09-15T15:17:45+02:00,2026-09-15T16:00:00,2026-09-15T16:00:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500020
2026-09-15T15:30:41+02:00,2026-09-15T15:30:00,2026-09-15T15:30:00,ATSTOP,Häggvik (Mossvägen),NORMALPROGRESS,2026091500018
2026-09-15T15:30:41+02:00,2026-09-15T15:45:00,2026-09-15T15:45:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500019
2026-09-15T15:30:41+02:00,2026-09-15T16:00:00,2026-09-15T16:00:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500020
2026-09-15T15:42:41+02:00,2026-09-15T15:45:00,2026-09-15T15:45:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500019
2026-09-15T15:42:41+02:00,2026-09-15T16:00:00,2026-09-15T16:00:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500020
2026-09-15T15:42:41+02:00,2026-09-15T16:15:00,2026-09-15T16:15:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500021
2026-09-15T15:52:30+02:00,2026-09-15T16:00:00,2026-09-15T16:00:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500020
2026-09-15T15:52:30+02:00,2026-09-15T16:15:00,2026-09-15T16:15:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500021
2026-09-15T15:52:30+02:00,2026-09-15T16:25:00,2026-09-15T16:25:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500022
2026-09-15T15:59:40+02:00,2026-09-15T16:00:00,2026-09-15T16:00:00,ATSTOP,Häggvik (Mossvägen),NORMALPROGRESS,2026091500020
2026-09-15T15:59:40+02:00,2026-09-15T16:15:00,2026-09-15T16:15:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500021
2026-09-15T15:59:40+02:00,2026-09-15T16:25:00,2026-09-15T16:25:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500022
2026-09-15T16:11:16+02:00,2026-09-15T16:15:00,2026-09-15T16:15:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500021
2026-09-15T16:11:16+02:00,2026-09-15T16:25:00,2026-09-15T16:25:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500022
2026-09-15T16:11:16+02:00,2026-09-15T16:35:00,2026-09-15T16:35:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500023
2026-09-15T16:24:35+02:00,2026-09-15T16:25:00,2026-09-15T16:25:00,ATSTOP,Häggvik (Mossvägen),ATORIGIN,2026091500022
2026-09-15T16:24:35+02:00,2026-09-15T16:35:00,2026-09-15T16:35:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500023
2026-09-15T16:24:35+02:00,2026-09-15T16:45:00,2026-09-15T16:45:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500024
2026-09-15T16:34:47+02:00,2026-09-15T16:35:00,2026-09-15T16:35:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500023
2026-09-15T16:34:47+02:00,2026-09-15T16:45:00,2026-09-15T16:45:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500024
2026-09-15T16:34:47+02:00,2026-09-15T16:55:00,2026-09-15T16:55:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026091500025
